iter	Passed	Remaining
0	142	141877
1	152	75987
2	160	53319
3	167	41653
4	174	34745
5	181	30144
6	190	26993
7	198	24576
8	204	22505
9	212	21002
10	218	19650
11	228	18834
12	236	17955
13	244	17217
14	250	16462
15	258	15872
16	264	15272
17	271	14786
18	277	14334
19	284	13940
20	292	13645
21	298	13290
22	306	13017
23	313	12741
24	321	12520
25	327	12277
26	334	12054
27	343	11917
28	350	11730
29	359	11608
30	365	11425
31	373	11297
32	379	11129
33	387	11018
34	395	10895
35	403	10793
36	410	10671
37	418	10586
38	425	10483
39	433	10399
40	441	10329
41	448	10232
42	457	10173
43	464	10097
44	471	10010
45	478	9924
46	486	9859
47	493	9788
48	502	9756
49	509	9679
50	517	9630
51	524	9553
52	531	9499
53	538	9437
54	546	9394
55	554	9345
56	561	9292
57	568	9237
58	575	9179
59	582	9125
60	590	9095
61	599	9069
62	606	9015
63	613	8974
64	620	8922
65	628	8891
66	635	8853
67	644	8826
68	652	8803
69	659	8766
70	667	8729
71	674	8698
72	682	8668
73	689	8632
74	697	8598
75	704	8559
76	712	8540
77	718	8498
78	727	8484
79	735	8462
80	742	8428
81	750	8399
82	757	8368
83	764	8339
84	772	8312
85	779	8285
86	787	8259
87	794	8234
88	801	8205
89	808	8179
90	815	8145
91	822	8114
92	829	8093
93	836	8065
94	844	8044
95	852	8032
96	860	8012
97	868	7990
98	875	7971
99	882	7946
100	892	7940
101	899	7919
102	906	7896
103	914	7877
104	920	7850
105	928	7832
106	934	7802
107	942	7780
108	947	7748
109	954	7725
110	960	7693
111	968	7680
112	975	7654
113	980	7623
114	988	7607
115	994	7577
116	1001	7556
117	1007	7529
118	1013	7506
119	1020	7483
120	1028	7474
121	1035	7453
122	1042	7432
123	1048	7410
124	1055	7389
125	1061	7365
126	1068	7347
127	1074	7323
128	1082	7305
129	1088	7284
130	1095	7264
131	1102	7250
132	1113	7259
133	1123	7258
134	1132	7254
135	1139	7241
136	1148	7232
137	1153	7208
138	1160	7187
139	1167	7171
140	1173	7150
141	1180	7133
142	1186	7110
143	1192	7090
144	1198	7069
145	1204	7045
146	1212	7034
147	1218	7014
148	1225	6999
149	1232	6984
150	1238	6961
151	1245	6949
152	1252	6934
153	1260	6923
154	1266	6902
155	1272	6883
156	1279	6869
157	1285	6850
158	1292	6835
159	1297	6814
160	1304	6795
161	1311	6782
162	1317	6763
163	1324	6751
164	1330	6732
165	1336	6714
166	1342	6697
167	1348	6678
168	1355	6664
169	1360	6644
170	1367	6629
